,1. open,2. high,3. low,4. close,5. volume
2026-07-01,57.13,58.48,56.845,58.36,35288360.0
2026-06-30,57.47,57.75,56.84,56.98,41324610.0
2026-06-29,57.76,58.335,57.61,57.88,28920848.0
2026-06-26,58.54,58.6299,57.44,57.88,48757636.0
2026-06-25,57.85,59.195,57.85,58.19,33759457.0
2026-06-24,58.21,58.33,57.385,57.73,30324864.0
2026-06-23,57.52,58.01,57.2,57.91,30045715.0
2026-06-22,56.85,57.725,56.81,57.37,38653828.0
2026-06-18,57.23,57.33,56.03,56.2,70438836.0
2026-06-17,57.14,57.98,56.295,56.53,40439271.0
2026-06-16,56.5,57.07,56.23,56.84,33409761.0
2026-06-15,56.6188,57.0,55.74,55.87,31666487.0
2026-06-12,55.36,56.19,55.26,56.02,32989015.0
2026-06-11,54.715,55.305,54.065,55.16,31746349.0
2026-06-10,54.54,55.3,54.22,54.54,37025463.0
2026-06-09,54.0,54.615,53.65,54.42,32328966.0
2026-06-08,53.715,54.35,53.57,53.63,30332131.0
2026-06-05,54.17,54.28,53.32,53.83,38829439.0
2026-06-04,53.13,54.33,52.8,54.17,51883552.0
2026-06-03,52.255,52.55,51.215,52.4,48065359.0
2026-06-02,51.26,52.71,51.26,52.48,42126492.0
2026-06-01,51.31,51.825,50.85,51.51,34303714.0
2026-05-29,50.97,51.8,50.605,51.6,57930560.0
2026-05-28,50.9233,51.5,50.64,50.77,48550106.0
2026-05-27,52.39,52.49,50.76,51.1,48581474.0
2026-05-26,52.22,52.5,51.88,52.2,27397607.0
2026-05-22,51.69,52.15,51.645,51.8,26683681.0
2026-05-21,51.0,51.5,50.755,51.49,27461928.0
2026-05-20,50.99,51.575,50.49,51.23,47321210.0
2026-05-19,50.725,51.275,50.375,50.7,44154636.0
2026-05-18,49.72,50.92,49.72,50.69,33404075.0
2026-05-15,49.62,49.99,49.3,49.77,46282292.0
2026-05-14,50.06,50.47,49.49,49.85,37671755.0
2026-05-13,50.36,50.78,49.8,49.84,29838010.0
2026-05-12,50.86,51.08,49.84,50.78,33518838.0
2026-05-11,51.21,51.39,50.27,50.55,33132236.0
2026-05-08,52.98,53.01,51.095,51.31,36111182.0
2026-05-07,53.55,54.0,52.5001,52.75,28682052.0
2026-05-06,53.82,54.2,53.47,53.6,27541194.0
2026-05-05,52.57,53.355,52.28,53.12,28458642.0
2026-05-04,53.07,53.07,52.0,52.19,42928955.0
2026-05-01,53.69,54.06,53.09,53.24,24824952.0
