,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2025-12-05,482.515,483.4,478.8801,483.16,22608710.0,4.51989999999995,0.9354872092060497
2025-12-08,484.885,492.3,484.38,491.02,20668450.0,7.920000000000016,1.6129689218361811
2025-12-09,489.1,492.12,488.5001,492.02,14092776.0,3.6199000000000296,0.7357221251168712
2025-12-10,484.03,484.25,475.08,478.56,35756229.0,9.170000000000016,1.9161651621531293
2025-12-11,476.63,486.03,475.86,483.47,24669180.0,10.169999999999959,2.103543136078755
2025-12-12,479.82,482.45,476.34,478.53,21248102.0,6.110000000000014,1.2768269491985902
2025-12-15,480.1,480.7205,472.52,474.82,23727694.0,8.200500000000034,1.7270755233562263
2025-12-16,471.905,477.89,470.88,476.39,20705560.0,7.009999999999991,1.4714834484351038
2025-12-17,476.905,480.0,475.0,476.12,24527176.0,5.0,1.0501554230026042
2025-12-18,478.19,489.6,477.89,483.98,28573545.0,11.710000000000036,2.4195214678292563
2025-12-19,487.36,487.85,482.49,485.92,70836105.0,5.360000000000014,1.1030622324662522
2025-12-22,486.12,488.73,482.69,484.92,16963019.0,6.0400000000000205,1.2455662789738555
2025-12-23,484.98,487.83,484.74,486.85,14683582.0,3.089999999999975,0.6346924103933398
2025-12-24,485.68,489.1625,484.83,488.02,5855880.0,4.332500000000039,0.8877709929920985
2025-12-26,486.705,488.12,485.96,487.71,8842175.0,2.160000000000025,0.44288614135449855
2025-12-29,484.855,488.35,484.18,487.1,10893408.0,4.170000000000016,0.856087045781157
2025-12-30,485.93,489.68,485.5,487.48,13944512.0,4.180000000000007,0.8574710757364419
2025-12-31,487.84,488.14,483.3,483.62,15601554.0,4.839999999999975,1.0007857408709264
2026-01-02,484.385,484.66,470.16,472.94,25571567.0,14.5,3.065928024696579
2026-01-05,474.055,476.07,469.5,472.85,25250260.0,6.569999999999993,1.3894469704980423
2026-01-06,473.8,478.7367,469.75,478.51,23037665.0,8.986699999999985,1.8780589747340672
2026-01-07,479.755,489.7,477.95,483.47,25564196.0,11.75,2.430347281113616
2026-01-08,481.24,482.66,475.86,478.11,18162616.0,6.800000000000011,1.4222668423584555
2026-01-09,474.06,479.82,472.2001,479.28,18491036.0,7.619899999999973,1.589863962610577
2026-01-12,476.67,480.99,475.6803,477.18,23519895.0,5.309700000000021,1.112724757952978
2026-01-13,474.675,475.7799,465.95,470.67,28545800.0,9.82990000000001,2.0884908747105206
2026-01-14,466.46,468.2,457.17,459.38,28184302.0,11.029999999999973,2.4010623013627006
2026-01-15,464.12,464.25,455.9,456.66,23225839.0,8.350000000000023,1.8284938466255032
2026-01-16,457.83,463.19,456.48,459.86,34246650.0,6.7099999999999795,1.459139738181181
2026-01-20,451.215,456.8,449.28,454.52,25973898.0,7.520000000000039,1.6544926515884975
2026-01-21,452.595,452.69,438.68,444.11,37980510.0,14.009999999999991,3.1546238544504717
2026-01-22,447.62,452.84,444.7,451.14,25349378.0,8.139999999999986,1.8043179500820115
2026-01-23,451.87,471.1,450.53,465.95,38000159.0,20.57000000000005,4.414636763601256
2026-01-26,465.305,474.25,462.0,470.28,29291235.0,12.25,2.6048311644126905
2026-01-27,473.7,482.87,473.16,480.58,29088664.0,9.70999999999998,2.0204752590619623
2026-01-28,483.21,483.74,478.0,481.63,36875403.0,5.740000000000009,1.191786225941077
2026-01-29,439.99,442.5,421.02,433.5,128855323.0,21.480000000000018,4.955017301038066
2026-01-30,439.17,439.6,426.45,430.29,58566819.0,13.150000000000034,3.0560784587138983
2026-02-02,430.235,430.736,422.25,423.37,42219858.0,8.48599999999999,2.004393320263597
2026-02-03,422.01,422.05,408.56,411.21,60076532.0,13.490000000000009,3.2805622431361128
2026-02-04,411.0,419.8,409.24,414.19,45012374.0,10.560000000000002,2.5495545522586256
2026-02-05,407.44,408.3,392.32,393.67,66289247.0,15.980000000000018,4.059237432367216
2026-02-06,399.165,401.79,392.92,401.14,53515311.0,8.870000000000005,2.2111980854564504
2026-02-09,404.85,414.89,400.87,413.6,45480526.0,14.019999999999982,3.389748549323013
2026-02-10,419.62,423.68,412.7,413.27,44857850.0,10.980000000000018,2.6568587122220384
2026-02-11,416.175,416.46,401.01,404.37,42491012.0,15.449999999999989,3.8207582164848994
2026-02-12,405.0,406.2,398.01,401.84,40802362.0,8.189999999999998,2.038124626717101
2026-02-13,404.45,405.54,398.05,401.32,34091553.0,7.490000000000009,1.866341074454303
2026-02-17,399.22,400.52,394.525,396.86,32078794.0,5.9950000000000045,1.5106082749584246
2026-02-18,398.13,402.56,396.32,399.6,23223417.0,6.240000000000009,1.5615615615615637
2026-02-19,400.69,404.43,396.67,398.46,28234001.0,7.759999999999991,1.9474978667871283
2026-02-20,396.11,400.1159,395.16,397.23,34015249.0,4.9558999999999855,1.2476147320192295
2026-02-23,395.0,395.36,383.1,384.47,43238273.0,12.259999999999991,3.1888053684292634
2026-02-24,384.14,389.36,381.71,389.0,33884653.0,7.650000000000034,1.9665809768637619
2026-02-25,390.525,401.47,390.16,400.6,43625483.0,11.310000000000002,2.8232651023464808
2026-02-26,404.71,407.49,398.74,401.72,34405869.0,8.75,2.178134023698098
2026-02-27,390.88,396.82,389.88,392.74,51367196.0,6.939999999999998,1.76707236339563
2026-03-02,392.855,401.19,390.63,398.55,35474907.0,10.560000000000002,2.6496048174633047
2026-03-03,393.14,406.7,392.67,403.93,38199209.0,14.029999999999973,3.473374099472674
2026-03-04,401.265,411.0326,400.31,405.2,35807990.0,10.7226,2.6462487660414613
2026-03-05,404.42,411.61,404.4,410.68,39001315.0,7.210000000000036,1.755624817376068
2026-03-06,409.2,413.05,408.5101,408.96,31123859.0,4.539899999999989,1.1101085680751146
2026-03-09,404.915,410.21,403.5,409.41,30131854.0,6.7099999999999795,1.6389438460223196
2026-03-10,410.03,410.2,402.93,405.76,31706375.0,7.269999999999982,1.7916995268138756
2026-03-11,405.57,409.01,401.59,404.88,25512139.0,7.420000000000016,1.8326417704011104
2026-03-12,404.63,406.12,401.71,401.86,27263886.0,4.410000000000025,1.0973971034688759
2026-03-13,401.0,404.8,394.25,395.55,26848000.0,10.550000000000011,2.6671722917456733
