,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2025-12-18,316.0,317.7,312.22,313.0,11444909.0,5.479999999999961,1.7507987220447159
2025-12-19,313.79,318.56,313.19,317.21,24494412.0,5.3700000000000045,1.692884839696102
2025-12-22,317.51,323.23,317.51,323.09,8354588.0,5.720000000000027,1.7704045312451726
2025-12-23,323.61,327.78,323.09,325.93,6668305.0,4.689999999999998,1.4389592857362001
2025-12-24,326.24,329.99,325.5014,329.17,4289306.0,4.4886000000000195,1.3636115077315731
2025-12-26,329.11,330.86,326.54,327.91,4158293.0,4.319999999999993,1.317434661949923
2025-12-29,327.0,327.77,323.53,323.75,8635338.0,4.240000000000009,1.3096525096525125
2025-12-30,324.81,324.94,322.49,323.42,7904263.0,2.4499999999999886,0.7575289097767574
2025-12-31,324.34,324.875,322.04,322.22,5048531.0,2.8349999999999795,0.8798336540251938
2026-01-02,322.5,325.73,320.74,325.48,8054040.0,4.990000000000009,1.5331203146122676
2026-01-05,325.5,337.25,325.19,334.04,10752627.0,12.060000000000002,3.610346066339361
2026-01-06,332.62,335.87,330.65,334.61,7660787.0,5.220000000000027,1.560025103852254
2026-01-07,331.14,332.1499,324.6,326.99,9815240.0,7.54989999999998,2.3089085293128164
2026-01-08,326.39,331.4,325.65,329.79,11737068.0,5.75,1.7435337639103672
2026-01-09,329.34,331.9,328.17,329.19,6738143.0,3.7299999999999613,1.1330842370667278
2026-01-12,321.884,326.02,321.23,324.49,12805062.0,4.789999999999964,1.4761625936084204
2026-01-13,324.3,326.86,310.572,310.9,19371171.0,16.28800000000001,5.238983596011583
2026-01-14,308.2,311.76,306.12,307.87,25951464.0,5.639999999999986,1.83194205346412
2026-01-15,308.47,312.94,307.75,309.26,14751447.0,5.189999999999998,1.6781995731746744
2026-01-16,310.35,317.21,310.0,312.47,14652508.0,7.2099999999999795,2.30742151246519
2026-01-20,306.21,311.15,301.86,302.74,12670888.0,9.289999999999964,3.0686397568870856
