,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2026-02-10,945.7,961.83,929.93,948.99,3324939.0,31.90000000000009,3.3614685086249687
2026-02-11,950.64,968.13,931.28,944.59,2654273.0,36.85000000000002,3.9011634677479137
2026-02-12,956.17,968.39,903.98,904.55,3188714.0,64.40999999999997,7.12066773533801
2026-02-13,894.41,905.99,869.0,905.14,2623331.0,36.99000000000001,4.086660627085314
2026-02-17,907.73,921.55,905.68,916.04,2008475.0,15.870000000000005,1.732457097943322
2026-02-18,921.58,947.6999,919.98,933.73,1864857.0,27.71989999999994,2.968727576494269
2026-02-19,925.0,929.664,906.485,916.65,1974197.0,23.178999999999974,2.528664157530134
2026-02-20,912.55,922.37,900.57,922.24,2009290.0,21.799999999999955,2.3638098542678643
2026-02-23,918.5,932.0,883.7501,892.31,2535866.0,48.249900000000025,5.407302394907602
2026-02-24,885.44,911.77,881.65,902.27,1971522.0,30.120000000000005,3.3382468662373794
2026-02-25,914.72,922.51,907.52,921.38,1763623.0,14.990000000000009,1.626907464889623
2026-02-26,927.76,938.39,921.5401,929.0,2220304.0,16.849899999999934,1.813767491926796
2026-02-27,912.0,916.25,854.1501,859.57,5552255.0,62.09990000000005,7.224530870086212
2026-03-02,840.0,873.63,836.0,861.7,2873190.0,37.629999999999995,4.366949054195195
2026-03-03,836.0,868.335,824.64,862.58,3782323.0,43.69500000000005,5.065617102181832
2026-03-04,869.84,878.8,860.0,867.25,2081820.0,18.799999999999955,2.1677716921302914
2026-03-05,862.01,866.5243,822.2,835.46,3096912.0,44.324299999999994,5.305376678715916
2026-03-06,816.0,827.16,801.33,821.42,2472991.0,25.829999999999927,3.144554551873576
2026-03-09,810.0,836.68,795.0,832.03,3258185.0,41.67999999999995,5.009434755958313
2026-03-10,834.68,846.09,826.35,833.81,1871901.0,19.74000000000001,2.367445820990395
2026-03-11,829.95,832.8025,810.54,823.76,2236531.0,22.262500000000045,2.7025468583082506
2026-03-12,805.32,807.21,784.1,787.52,3533042.0,23.110000000000014,2.934528646891509
2026-03-13,789.36,798.0,780.5,782.21,2567411.0,17.5,2.2372508661356925
