,1. open,2. high,3. low,4. close,5. volume,absolute_range,relative_range_pct
2026-02-12,53.91,53.94,51.79,52.52,55481595.0,2.1499999999999986,4.093678598629091
2026-02-13,51.91,52.82,51.435,52.55,31772096.0,1.384999999999998,2.635585156993336
2026-02-17,53.04,53.55,52.615,52.74,35542357.0,0.9349999999999952,1.7728479332574802
2026-02-18,52.99,53.6086,52.79,53.36,30698902.0,0.8186000000000035,1.5341079460269933
2026-02-19,51.91,52.81,51.83,52.77,47148587.0,0.980000000000004,1.8571157854841842
2026-02-20,52.53,53.09,51.83,53.06,33552006.0,1.2600000000000051,2.3746701846965794
2026-02-23,52.84,53.26,50.89,51.07,50602478.0,2.3699999999999974,4.640689250048948
2026-02-24,50.74,50.88,49.47,50.41,53062697.0,1.4100000000000037,2.797064074588383
2026-02-25,50.33,51.765,50.31,51.69,41375022.0,1.4549999999999983,2.814857806152057
2026-02-26,51.88,52.67,51.7401,52.3,52418498.0,0.9299000000000035,1.7780114722753413
2026-02-27,51.08,51.41,49.32,49.83,77728699.0,2.0899999999999963,4.194260485651207
2026-03-02,48.78,50.42,48.58,49.81,40595188.0,1.8400000000000034,3.6940373418992234
2026-03-03,48.76,50.51,48.5,49.97,51242938.0,2.009999999999998,4.022413448068837
2026-03-04,49.89,50.41,49.21,50.3,34208496.0,1.1999999999999957,2.3856858846918403
2026-03-05,49.82,50.43,49.33,49.81,39073943.0,1.1000000000000014,2.2083918891788823
2026-03-06,48.55,48.7,47.62,48.64,47015993.0,1.0800000000000054,2.2203947368421164
2026-03-09,47.94,48.15,46.77,47.9,62752798.0,1.3799999999999955,2.8810020876826625
2026-03-10,48.28,49.15,47.595,48.56,50271136.0,1.5549999999999997,3.202224052718286
2026-03-11,48.36,48.65,47.78,48.52,42185812.0,0.8699999999999974,1.7930750206100525
2026-03-12,47.7,47.7824,46.79,47.13,58354534.0,0.9924000000000035,2.1056651814131198
2026-03-13,47.52,47.8201,46.655,46.72,45473073.0,1.1650999999999954,2.493792808219168
